id,name,description
high-cost-of-living,Higher cost of living,Living expenses significantly higher than global averages
high-tax,Higher tax burden,"High income, wealth, or consumption taxes"
crowded,Crowded / tourist-heavy hotspots,Popular areas experience heavy tourism and congestion
limited-english,Limited English outside expat areas,Local language required beyond main expat zones
developing-infrastructure,Developing infrastructure,"Transport, utilities, or services still improving"
varying-healthcare-quality,Healthcare quality varies by region,Healthcare standards uneven outside major cities
volatile-political-climate,Political / economic volatility risk,"Risk of policy, currency, or economic instability"
challenging-climate,"Challenging climate",Weather extremes reduce year-round comfort
complex-visa-process,More complex residency / visa process,Lengthy or restrictive residency requirements
small-expat-community,Smaller expat / retiree community,Limited international retiree presence or support networks
rising-cost,Rising costs,Increasing inflation or property prices that may outpace fixed retirement incomes
varying-safety,Safety varies by region,Significant disparities in security levels between different cities or neighborhoods
developing-healthcare,Developing healthcare quality,Medical facilities and specialized care that may not yet meet international standards
geographic-isolation,Geographic isolation,Remote locations that result in long travel times and high costs for international trips
natural-disaster-exposure,Natural disaster exposure,"Higher susceptibility to environmental risks like hurricanes, earthquakes, or seasonal floods"
polluted-cities,Polluted cities,Poor air quality or environmental degradation in major urban and industrial centers
