id,name,description,region,subregion,top_cities,pros,cons,similar_destinations,climate,inflation_rate,monthly_expenditure_single,monthly_expenditure_couple,tags,life_expectancy,life_expectancy_after_65,population_density,retirement_community,english_usage,crowds,affordability,healthcare_quality,personal_safety,political_stability,visa_ease,tax_environment,infrastructure,weather_comfort,healthcare_cost,economy,grade,international_living
australia,Australia,"Australia combines excellent healthcare, safety, and outdoor lifestyle with diverse landscapes from Great Barrier Reef to Outback. Cities like Brisbane and Melbourne offer culture and amenities. However, costs are very high, and residency is extremely difficult for retirees without family ties. The country's remote location means long-distance travel to elsewhere. Australia suits those with existing citizenship or family sponsorship seeking English-speaking stability, outdoor lifestyle, and don't mind high costs and distance from other continents.",Oceania,Pacific,brisbane:melbourne:perth,strong-healthcare-access:high-personal-safety,high-cost-of-living:complex-visa-process,new-zealand:canada:united-kingdom,Temperate,0.025,"3,850.00","5,000.00",Top Healthcare:Warm Weather:Safe:English Spoken:Beach Living:Premium Cost,76,85,Spacious,Established,Widely Spoken,Tourist-Heavy,D:Very High,A:Very Good,A:Very Safe,A:Very Stable,D:Difficult,D:High Tax,A:Very Good,B:Comfortable,C:High,A:Very Stable,C,TRUE
austria,Austria,"Austria delivers exceptional quality of life with world-class healthcare, stunning Alpine scenery, and cultural richness from Vienna to Salzburg. The country is extremely safe with excellent infrastructure, but costs are high, particularly in cities. Residency requires substantial income proof and private health insurance. The bureaucracy is efficient but thorough. German language skills are important outside Vienna. For retirees prioritizing safety, healthcare, and European cultural heritage who can afford premium costs, Austria is ideal.",Europe,Western Europe,vienna:salzburg:innsbruck,strong-healthcare-access:high-personal-safety:stable-political-environment,high-cost-of-living:high-tax,switzerland:germany:denmark,Temperate,0.025,"3,400.00","4,300.00",Top Healthcare:Safe:Premium Cost,73,82,Moderate,Established,Commonly Used,Moderate,D:Very High,A:Very Good,A:Very Safe,A:Very Stable,C:Moderate,D:High Tax,A:Very Good,B:Comfortable,C:High,A:Very Stable,C,FALSE
belize,Belize,"Belize offers Caribbean living with English as the official language, making it accessible for American retirees. The Qualified Retired Persons program provides residency benefits. From Ambergris Caye's diving to mainland jungle, the country offers natural beauty. However, healthcare is limited, requiring trips to Mexico or the US for serious treatment. Infrastructure is basic, and costs are higher than other Central American countries. Belize suits those seeking English-speaking Caribbean lifestyle who don't mind limited services and can access healthcare elsewhere.",Americas,Central America & Caribbean,ambergris-caye:placencia:caye-caulker,english-friendly:tax-friendly,developing-infrastructure:varying-healthcare-quality,costa-rica:panama:dominican-republic,Tropical,0.025,"2,000.00","2,500.00",Low Cost:Warm Weather:Safe:English Spoken:Beach Living,84,93,Comfortable,Thriving Hub,Widely Spoken,Relaxed,B:Moderate,B:Good,B:Safe,C:Moderate,B:Easy,B:Tax-Friendly,D:Adequate,A:Ideal,B:Low,C:Moderate,C,TRUE
canada,Canada,"Canada offers universal healthcare, stunning natural beauty, and multicultural cities from Vancouver to Halifax. The country is extremely safe with excellent infrastructure and quality of life. However, costs are very high, particularly for housing in major cities. Long, cold winters challenge many retirees. Residency is difficult without family sponsorship or significant investment. Canada appeals to those seeking North American stability, nature access, and don't mind cold weather, but immigration barriers and costs limit accessibility for many retirees.",Americas,North America,victoria:vancouver:halifax,strong-healthcare-access:high-personal-safety:stable-political-environment,challenging-climate:high-tax,united-kingdom:australia:new-zealand,Cold,0.025,"3,300.00","4,300.00",Top Healthcare:Safe:English Spoken:Premium Cost,74,83,Spacious,Established,Widely Spoken,Moderate,D:Very High,A:Very Good,A:Very Safe,A:Very Stable,D:Difficult,D:High Tax,A:Very Good,D:Challenging,C:High,A:Very Stable,C,FALSE
chile,Chile,"Chile offers South America's most developed economy with good healthcare, stunning landscapes from Atacama Desert to Patagonia, and excellent wine. Santiago provides modern urban living, while smaller cities offer better value. Residency requires proof of income. Costs are moderate to high by Latin American standards. Recent social unrest and constitutional debates have created some uncertainty. Chile suits those seeking developed South American living with geographic diversity, political stability, and don't need tropical climate or ultra-low costs.",Americas,South America,santiago:valparaiso:la-serena,strong-healthcare-access:high-personal-safety:modern-infrastructure,volatile-political-climate:rising-cost,uruguay:portugal:spain,Temperate,0.025,"2,500.00","3,150.00",Warm Weather:Safe:Large Expat Communities,73,82,Comfortable,Established,Commonly Used,Tourist-Heavy,C:High,A:Very Good,B:Safe,B:Stable,C:Moderate,C:Moderate Tax,A:Very Good,B:Comfortable,B:Low,B:Stable,B,TRUE
colombia,Colombia,"Colombia has transformed from its troubled past, with cities like Medellín and Bogotá offering modern amenities, eternal spring climate, and low costs. Cartagena provides Caribbean beaches. Healthcare is excellent in major cities at affordable prices. The retirement visa is straightforward. While safety has improved dramatically, caution is still needed in some areas. Colombia suits retirees seeking affordable Latin American living with excellent climate, improving infrastructure, and vibrant culture, who exercise reasonable precautions.",Americas,South America,medellin:bogota:cartagena,affordable-cost-of-living:comfortable-climate,varying-safety:crowded,ecuador:mexico:dominican-republic,Tropical,0.025,"1,800.00","2,400.00",Low Cost:Tropical Paradise:Warm Weather:Large Expat Communities:Mountain Living,74,83,Moderate,Thriving Hub,Minimal,Very Crowded,B:Moderate,B:Good,C:Moderate,C:Moderate,B:Easy,C:Moderate Tax,B:Good,A:Ideal,A:Very Low,C:Moderate,C,TRUE
costa-rica,Costa Rica,"Costa Rica stands out for its stable democracy, eco-friendly focus, and ""Pura Vida"" lifestyle. The country offers excellent healthcare through both public and private systems, making it a top medical tourism destination. With its Pensionado visa requiring just $1,000 monthly income, tropical climate, and strong English-speaking expat communities in areas like the Central Valley and Guanacaste, Costa Rica provides a peaceful retirement with easy access to beaches, mountains, and rainforests.",Americas,Central America & Caribbean,escazu:atenas:tamarindo,stable-political-environment:strong-healthcare-access,high-cost-of-living:developing-infrastructure,panama:mexico:belize,Tropical,0.025,"2,250.00","2,750.00",Low Cost:Tropical Paradise:Top Healthcare:Safe:Beach Living,81,90,Moderate,Thriving Hub,Basic Available,Relaxed,B:Moderate,B:Good,B:Safe,B:Stable,B:Easy,C:Moderate Tax,B:Good,A:Ideal,B:Low,B:Stable,B,TRUE
croatia,Croatia,"Croatia has emerged as a retirement destination offering stunning Adriatic coastline, medieval towns, and improved infrastructure since joining the EU. Cities like Split and Dubrovnik, along with the Istrian peninsula, attract retirees seeking Mediterranean living at lower costs than Italy or France. Healthcare is adequate in major cities, and the temporary residence permit is accessible for EU citizens. The country's natural beauty, growing expat community, and position as a travel hub make it increasingly popular.",Europe,Southern Europe,split:dubrovnik:rovinj,high-personal-safety:affordable-cost-of-living,crowded:varying-healthcare-quality,montenegro:greece:slovenia,Mediterranean,0.025,"2,000.00","2,500.00",Warm Weather:Safe:Large Expat Communities:Beach Living,70,79,Moderate,Growing Scene,Commonly Used,Tourist-Heavy,B:Moderate,B:Good,B:Safe,B:Stable,C:Moderate,C:Moderate Tax,B:Good,A:Ideal,B:Low,B:Stable,B,TRUE
cyprus,Cyprus,"Cyprus combines Mediterranean climate, English colonial heritage, and EU membership, making it accessible for European retirees. The island offers good healthcare, particularly in cities like Paphos and Limassol, which host large expat communities. Various visa options and favorable tax treatment for foreign pensions attract retirees. While the divided island has political complexities, the southern Republic of Cyprus provides stability, beautiful beaches, and a relaxed pace of life with lower costs than many EU countries.",Europe,Southern Europe,paphos:limassol:nicosia,easy-visa-access:english-friendly:high-personal-safety,developing-infrastructure:small-expat-community,malta:greece:portugal,Mediterranean,0.025,"2,250.00","2,850.00",Warm Weather:Safe:Large Expat Communities:English Spoken:Beach Living:Tax Friendly,81,90,Moderate,Growing Scene,Widely Spoken,Moderate,B:Moderate,B:Good,A:Very Safe,B:Stable,B:Easy,B:Tax-Friendly,B:Good,A:Ideal,B:Low,B:Stable,B,FALSE
czech-republic,Czech Republic,"The Czech Republic offers Central European charm with excellent infrastructure, good healthcare, and reasonable costs compared to Western Europe. Prague is a beautiful capital, while smaller cities like Brno offer authentic experiences. The country's position in the heart of Europe enables easy travel. Beer culture, castles, and a temperate climate add appeal. Residency requires proof of accommodation and income. While the expat community is smaller outside Prague and Czech language helps, the country provides stability and quality of life.",Europe,Eastern Europe,prague:brno:cesky-krumlov,strong-healthcare-access:modern-infrastructure:high-personal-safety,high-tax:challenging-climate,austria:germany:slovenia,Temperate,0.025,"2,250.00","2,850.00",Safe:Low Cost,78,87,Moderate,Established,Commonly Used,Moderate,B:Moderate,A:Very Good,A:Very Safe,A:Very Stable,C:Moderate,D:High Tax,A:Very Good,B:Comfortable,B:Low,A:Very Stable,B,TRUE
