country,affordability,healthcare_quality,personal_safety,political_stability,visa_ease,tax_environment,infrastructure,weather_comfort,healthcare_cost,economy
australia,D,A,A,A,D,D,A,B,C,A
austria,D,A,A,A,C,D,A,B,C,A
belize,B,B,B,C,B,B,D,A,B,C
canada,D,A,A,A,D,D,A,D,C,A
chile,C,A,B,B,C,C,A,B,B,B
colombia,B,B,C,C,B,C,B,A,A,C
costa-rica,B,B,B,B,B,C,B,A,B,B
croatia,B,B,B,B,C,C,B,A,B,B
cyprus,B,B,A,B,B,B,B,A,B,B
czech-republic,B,A,A,A,C,D,A,B,B,A
denmark,D,A,A,A,C,D,A,B,C,A
dominican-republic,B,B,C,C,C,C,B,A,B,C
ecuador,A,B,B,C,B,C,B,A,A,C
finland,D,A,A,A,C,D,A,D,C,A
france,C,A,A,A,C,D,A,A,B,A
georgia,A,B,B,C,A,A,B,B,A,C
germany,C,A,A,A,C,D,A,B,B,A
greece,B,B,B,C,C,C,B,A,B,C
indonesia,A,B,B,C,C,C,B,A,A,C
ireland,D,A,A,A,C,C,A,B,C,A
italy,B,A,B,B,C,C,A,A,B,B
japan,D,A,A,A,D,D,A,B,B,A
malaysia,A,B,B,B,B,A,B,B,A,B
malta,C,A,A,A,B,B,A,A,B,A
mexico,A,B,B,C,C,C,B,A,A,C
montenegro,B,B,B,C,B,B,B,A,B,C
morocco,A,B,B,B,C,C,B,A,A,B
netherlands,D,A,A,A,C,D,A,B,C,A
new-zealand,D,A,A,A,D,D,A,B,C,A
norway,D,A,A,A,C,D,A,B,C,A
oman,C,A,A,B,C,A,A,D,B,A
panama,B,B,B,B,A,A,B,A,B,B
philippines,A,B,B,C,B,B,B,A,A,C
portugal,B,B,B,B,B,C,B,A,B,B
singapore,D,A,A,A,D,A,A,D,C,A
slovenia,C,A,A,A,C,D,A,B,B,A
south-korea,C,A,A,B,D,D,A,B,B,A
spain,B,B,B,B,B,C,D,B,A,B
sri-lanka,A,B,B,D,C,C,B,A,A,D
sweden,D,A,A,A,C,D,A,B,C,A
switzerland,D,A,A,A,D,C,A,B,D,A
taiwan,B,A,A,B,D,C,A,B,B,A
thailand,A,B,B,C,C,C,B,A,A,C
tunisia,A,B,B,C,C,C,B,A,A,C
turkey,A,B,B,D,B,C,B,B,A,D
united-arab-emirates,D,A,A,B,D,A,A,D,B,A
united-kingdom,D,A,B,A,D,C,A,B,C,A
united-states,D,A,B,B,D,D,A,B,D,B
uruguay,C,A,A,B,B,C,A,B,B,B
vietnam,A,B,B,C,C,C,B,A,A,C
